City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Port Alfred,ZA,2020-01-05 21:59:38,-33.59,26.89,69.01,90,50,1.01,scattered clouds,0.0,0.0
1,Bluff,AU,2020-01-05 22:00:17,-23.58,149.07,74.39,77,0,10.36,clear sky,0.0,0.0
2,Mataura,NZ,2020-01-05 21:57:03,-46.19,168.86,52.0,72,87,25.01,light rain,1.56,0.0
3,Mar Del Plata,AR,2020-01-05 21:58:09,-46.43,-67.52,69.57,33,100,6.33,overcast clouds,0.0,0.0
4,Ushuaia,AR,2020-01-05 21:58:03,-54.81,-68.31,50.0,66,75,25.28,broken clouds,0.0,0.0
5,Saint-Philippe,CA,2020-01-05 22:00:34,45.36,-73.48,23.0,73,90,8.05,overcast clouds,0.0,0.0
6,Kruisfontein,ZA,2020-01-05 22:00:57,-34.0,24.73,65.17,83,100,5.23,light rain,0.19,0.0
7,Rikitea,PF,2020-01-05 22:00:18,-23.12,-134.97,76.03,78,67,15.41,broken clouds,0.0,0.0
8,Nuevo Casas Grandes,MX,2020-01-05 22:04:37,30.42,-107.91,63.88,22,0,4.79,clear sky,0.0,0.0
9,Vera Cruz,BR,2020-01-05 22:04:37,-12.96,-38.61,80.6,83,75,12.75,broken clouds,0.0,0.0
10,Punta Arenas,CL,2020-01-05 21:57:02,-53.16,-70.91,55.4,54,75,27.51,broken clouds,0.0,0.0
11,Nanortalik,GL,2020-01-05 21:58:20,60.14,-45.24,26.4,70,0,11.77,clear sky,0.0,0.0
12,Samana,EC,2020-01-05 22:04:38,0.12,-76.97,89.6,58,75,2.24,broken clouds,0.0,0.0
13,Saint George,GR,2020-01-05 21:59:48,39.45,22.34,42.01,75,90,13.87,overcast clouds,0.0,0.0
14,Puerto Ayora,EC,2020-01-05 22:00:35,-0.74,-90.35,84.2,62,40,18.34,scattered clouds,0.0,0.0
15,Okahandja,NA,2020-01-05 22:04:39,-21.98,16.91,66.2,77,99,5.82,light rain,0.69,0.0
16,Provideniya,RU,2020-01-05 22:01:34,64.42,-173.23,-10.43,82,100,9.08,overcast clouds,0.0,0.0
17,Ilheus,BR,2020-01-05 22:04:39,-14.79,-39.05,82.4,88,20,9.17,few clouds,0.0,0.0
18,Chokurdakh,RU,2020-01-05 22:00:19,70.62,147.9,-21.48,99,84,3.83,broken clouds,0.0,0.0
19,Zheleznodorozhnyy,RU,2020-01-05 22:02:34,55.75,38.0,33.8,64,75,6.71,broken clouds,0.0,0.0
20,Tuktoyaktuk,CA,2020-01-05 22:00:49,69.44,-133.03,-22.0,74,90,9.17,overcast clouds,0.0,0.0
21,Poum,MK,2020-01-05 22:01:03,41.28,20.71,23.95,69,2,7.63,clear sky,0.0,0.0
22,Puerto Leguizamo,CO,2020-01-05 22:04:40,-0.19,-74.78,91.67,45,53,4.43,broken clouds,0.0,0.0
23,Lethem,GY,2020-01-05 22:04:41,3.38,-59.8,96.06,28,0,8.77,clear sky,0.0,0.0
24,Barrow,AR,2020-01-05 21:57:04,-38.31,-60.23,73.53,76,100,3.74,moderate rain,7.25,0.0
25,Touros,BR,2020-01-05 22:01:16,-5.2,-35.46,82.4,69,40,14.99,scattered clouds,0.0,0.0
